Season,Team,Conference,Offense Ppa,Offense SuccessRate,Offense Explosiveness,Offense PowerSuccess,Offense StuffRate,Offense LineYards,Offense SecondLevelYards,Offense OpenFieldYards,Offense PointsPerOpportunity,Offense FieldPosition AverageStart,Offense FieldPosition AveragePredictedPoints,Offense Havoc FrontSeven,Offense Havoc Db,Offense StandardDowns Rate,Offense StandardDowns Ppa,Offense StandardDowns SuccessRate,Offense StandardDowns Explosiveness,Offense PassingDowns Rate,Offense PassingDowns Ppa,Offense PassingDowns SuccessRate,Offense PassingDowns Explosiveness,Offense RushingPlays Rate,Offense RushingPlays Ppa,Offense RushingPlays SuccessRate,Offense RushingPlays Explosiveness,Offense PassingPlays Rate,Offense PassingPlays Ppa,Offense PassingPlays SuccessRate,Offense PassingPlays Explosiveness,Defense Ppa,Defense SuccessRate,Defense Explosiveness,Defense PowerSuccess,Defense StuffRate,Defense LineYards,Defense SecondLevelYards,Defense OpenFieldYards,Defense PointsPerOpportunity,Defense FieldPosition AverageStart,Defense FieldPosition AveragePredictedPoints,Defense Havoc Total,Defense Havoc FrontSeven,Defense Havoc Db,Defense StandardDowns Rate,Defense StandardDowns Ppa,Defense StandardDowns SuccessRate,Defense StandardDowns Explosiveness,Defense PassingDowns Rate,Defense PassingDowns Ppa,Defense PassingDowns SuccessRate,Defense PassingDowns Explosiveness,Defense RushingPlays Rate,Defense RushingPlays Ppa,Defense RushingPlays SuccessRate,Defense RushingPlays Explosiveness,Defense PassingPlays Rate,Defense PassingPlays Ppa,Defense PassingPlays SuccessRate,Defense PassingPlays Explosiveness
2021,Ball State,Mid-American,0.111394578,0.403448276,1.215185195,0.75,0.136585366,3.037317073,1.012195122,0.980487805,3.676470588,69.5,1.455,0.091954023,0.05862069,0.672413793,0.079773028,0.456410256,1.031411105,0.327586207,0.176301968,0.294736842,1.799324267,0.471264368,0.133759605,0.404878049,1.032077074,0.524137931,0.115747949,0.405701754,1.379487617,0.23728404,0.49143469,1.084038503,0.797297297,0.129411765,3.272745098,1.062745098,1.1,3.926470588,74.3,-1.123,0.131691649,0.085653105,0.046038544,0.732334047,0.23417828,0.562865497,0.922207759,0.267665953,0.2457814,0.296,1.925995755,0.546038544,0.186390494,0.474509804,0.891951827,0.438972163,0.381705574,0.529268293,1.298254981
2021,Baylor,Big 12,0.280902929,0.456751055,1.322444652,0.742857143,0.160427807,3.335294118,1.315508021,1.721925134,4,68.7,1.495,0.105485232,0.044303797,0.716244726,0.258986199,0.509572901,1.202593877,0.283755274,0.336224341,0.323420074,1.799092561,0.591772152,0.300936234,0.467023173,1.177875189,0.407172996,0.261964713,0.443005181,1.543948741,0.145646984,0.371700106,1.373082104,0.762711864,0.161925602,2.797592998,0.947483589,1.026258206,3.04109589,74,-1.083,0.199577614,0.129883844,0.06969377,0.649419219,0.09925354,0.429268293,1.104790571,0.350580781,0.231586646,0.265060241,2.177956701,0.482576558,0.102544689,0.361050328,1.061762237,0.50686378,0.215594002,0.389583333,1.647776104
2021,Boise State,Mountain West,0.181335093,0.433763189,1.17543518,0.709090909,0.195754717,2.757783019,0.898584906,0.502358491,3.986842105,70.2,1.39,0.104337632,0.046893318,0.68112544,0.056454856,0.48020654,0.902375319,0.31887456,0.448082952,0.334558824,2.012618709,0.497069168,0.05204774,0.426886792,0.828554391,0.502930832,0.309115601,0.440559441,1.507633184,0.121293477,0.381194409,1.269581669,0.659574468,0.197247706,2.918348624,1.029816514,1.084862385,3.262295082,72.8,-1.198,0.166454892,0.105463787,0.060991105,0.66454892,0.066066044,0.4416826,0.979837863,0.33545108,0.230702369,0.261363636,2.23959354,0.554002541,0.088807688,0.389908257,0.92617206,0.442185515,0.221421088,0.373563218,1.718655772
2021,Boston College,ACC,0.17155747,0.412223667,1.258293554,0.627118644,0.22247191,2.782022472,1.015730337,1.195505618,3.59375,72.6,1.232,0.119635891,0.059817945,0.691807542,0.097773541,0.454887218,0.961630539,0.308192458,0.337182157,0.316455696,2.215526213,0.578673602,0.105871918,0.44494382,0.940740471,0.418725618,0.274792143,0.369565217,1.786659187,0.140287742,0.417449664,1.175437073,0.709677419,0.169856459,3.137559809,1.078947368,1.351674641,3.1875,72.2,-1.272,0.148322148,0.091946309,0.056375839,0.706040268,0.067732221,0.469581749,0.909061835,0.293959732,0.314553516,0.292237443,2.203479004,0.561073826,0.106820899,0.447368421,0.864622572,0.438926174,0.183067989,0.379204893,1.644165393
2021,Bowling Green,Mid-American,0.085906453,0.364993216,1.264244986,0.647058824,0.182389937,2.730503145,0.974842767,1.402515723,3.6,69.6,1.408,0.141112619,0.078697422,0.622795115,-0.002378053,0.4291939,0.970282793,0.377204885,0.231671159,0.258992806,2.068558209,0.431478969,0.107222026,0.383647799,1.045856777,0.561736771,0.103619194,0.355072464,1.445492343,0.180869138,0.430825243,1.128502153,0.888888889,0.119760479,3.471856287,1.093812375,0.846307385,4.197183099,68.4,-1.521,0.167475728,0.118932039,0.048543689,0.711165049,0.192202462,0.518771331,0.965834336,0.288834951,0.152964399,0.214285714,2.098129921,0.608009709,0.190404296,0.477045908,0.866736495,0.383495146,0.200888823,0.367088608,1.667829672
2021,Buffalo,Mid-American,0.17213812,0.432941176,1.135298026,0.830985915,0.122621564,3.151374207,0.932346723,0.942917548,3.823529412,74,1.12,0.090588235,0.054117647,0.714117647,0.124943947,0.481054366,0.944194612,0.285882353,0.290026445,0.312757202,1.869537461,0.556470588,0.158123377,0.450317125,0.909825143,0.431764706,0.250176848,0.422343324,1.445141408,0.303457086,0.437751004,1.509099021,0.72,0.156908665,3.164168618,1.391100703,2.379391101,3.671232877,69.3,-1.426,0.18875502,0.143239625,0.045515395,0.681392236,0.18372866,0.463654224,1.26184929,0.318607764,0.559514941,0.382352941,2.150318104,0.571619813,0.306864253,0.451990632,1.336365759,0.424364123,0.352740197,0.422712934,1.757886481
2021,BYU,Big 12,0.347270485,0.496503497,1.314006493,0.78313253,0.163355408,3.302207506,1.291390728,1.55187638,4.238636364,71.5,1.267,0.094405594,0.046620047,0.724941725,0.369377888,0.567524116,1.165703213,0.275058275,0.289004362,0.309322034,2.031144271,0.527972028,0.321163556,0.51214128,1.084778389,0.470862471,0.381777463,0.48019802,1.588134947,0.230240297,0.462242563,1.153687479,0.710144928,0.159550562,3.076853933,1.04494382,1.105617978,4.069444444,73.8,-1.108,0.164759725,0.09382151,0.070938215,0.724256293,0.198227488,0.52764613,1.001942022,0.275743707,0.314323733,0.290456432,1.877730085,0.509153318,0.189283345,0.462921348,0.970463704,0.487414188,0.27995475,0.464788732,1.344314233
2021,California,Pac-12,0.217946836,0.433417085,1.217882668,0.775510204,0.121693122,3.504761905,1.301587302,1.484126984,3.621212121,73.7,1.133,0.079145729,0.050251256,0.683417085,0.184775662,0.496323529,1.040201624,0.316582915,0.289554451,0.297619048,1.857534425,0.474874372,0.261124148,0.486772487,0.973079723,0.51758794,0.202211781,0.390776699,1.497657463,0.161251679,0.427906977,1.234606487,0.836363636,0.131513648,3.224069479,1.138957816,1.012406948,3.014084507,70.7,-1.362,0.161627907,0.088372093,0.073255814,0.672093023,0.099905785,0.480968858,0.953648529,0.327906977,0.286989009,0.319148936,2.102454401,0.468604651,0.140121527,0.456575682,0.931458838,0.520930233,0.227530665,0.410714286,1.537754135
2021,Central Michigan,Mid-American,0.228519342,0.435610302,1.334621409,0.789473684,0.180084746,3.191737288,1.188559322,1.652542373,3.648351648,68.3,1.543,0.104143337,0.060470325,0.652855543,0.182249116,0.499142367,1.048995246,0.347144457,0.315537219,0.316129032,2.182756242,0.528555431,0.150197988,0.444915254,1.002292435,0.464725644,0.366370193,0.431325301,1.724504563,0.174698781,0.407453416,1.298634326,0.709090909,0.185089974,2.84344473,1.097686375,1.277634961,3.956521739,72.6,-1.243,0.21552795,0.142236025,0.073291925,0.655900621,0.179246497,0.482954545,1.105505197,0.344099379,0.166030211,0.263537906,1.973263475,0.483229814,0.127895852,0.419023136,1.045327037,0.511801242,0.269735887,0.400485437,1.548871224
2021,Charlotte,American Athletic,0.222584751,0.437037037,1.307127464,0.693548387,0.188442211,2.966582915,1.070351759,1.155778894,3.916666667,72.2,1.236,0.112345679,0.067901235,0.67037037,0.194351125,0.502762431,1.108858809,0.32962963,0.2800037,0.303370787,1.975366266,0.491358025,0.142823892,0.424623116,1.074960288,0.504938272,0.317975568,0.452322738,1.519215318,0.374098653,0.475195822,1.425894576,0.782608696,0.120930233,3.268372093,1.2,1.823255814,4.379746835,70.1,-1.391,0.137075718,0.08616188,0.050913838,0.699738903,0.282604817,0.514925373,1.21021117,0.300261097,0.587319071,0.382608696,2.102356169,0.561357702,0.285989883,0.469767442,1.17878638,0.437336815,0.489181551,0.48358209,1.734017141
